Department / Agency / Crown Corporation,Ministère/organisme/société d'État,Program name,Nom de programme,Category,Catégorie,Project name,Nom de projet,Project description,Description du projet,Recipient type,Type de destinataire,Ultimate recipient name,Nom du destinataire final,Program contribution,Estimated total project cost,Contribution du programme,Coût total estimé du projet,Funding date / estimated start date,Funding date / Date de début estimée,Province/Territory,Province/Territoire,Municipality / Community,Municipalité / Communauté,Icon,Latitude,Longitude,Additional information,informations complémentaires,
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Expansion on Summer of Smoke project,Prolongation du projet Summer of Smoke (un été de fumée),Ecology North is expanding on the Summer of Smoke project by utilizing the resources created to develop a feature length documentary.The Summer of Smoke project was a very successful project that took place in the NWT in 2015/16. ,Ecology North prolonge le projet de « Summer of Smoke » en utilisant les ressources formées pour créer un long métrage documentaire. Le projet « Summer of Smoke » a connu un franc succès aux Territoires du Nord-Ouest en 2015-2016. ,Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Ecology North,Ecology North,"$108,240",Not available,$108 240,Sans objet,Winter 2018,Hiver 2018,Northwest Territories,Territoires du Nord-Ouest,North Slave Region,North Slave Region,Adaptation,62.454,-114.3718,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Food Security in the Face of Climate Change,Assurer la sécurité alimentaire dans le cadre des changements climatiques,The Inuvialuit Regional Corporation is looking to transition their country food processing plant to a sustainable business as well as to determine the potential for expanding the program into different Inuvialuit communities.This work includes training to run the Inuvik food processing plant and assessments in each of the 5 Inuvialuit communities outside of Inuvik. ,Le Société régionale Inuvialuite (SRI) cherche à transformer son usine de transformation des aliments traditionnels en une entreprise durable et à déterminer s’il est possible d’appliquer le programme dans différentes communautés Inuvialuites. Ce travail comprend une formation sur l’exploitation de l’usine de transformation des aliments d’Inuvik et des évaluations dans chacune des cinq communautés Inuvialuites à l’extérieur d’Inuvik.,Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Inuvialuit Regional Corporation,Société régionale Inuvialuite,"$225,000",Not available,$225 000,Sans objet,Winter 2018,Hiver 2018,Northwest Territories,Territoires du Nord-Ouest,Inuvialuit Settlement Region,Inuvialuit Settlement Region,Adaptation,68.3607,-133.723,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,"Food security, plants and wildlife monitoring","Sécurité alimentaire, surveillance de la flore et de la faune","This activity engaged youth and other community members, by creating and expanding opportunities for participation in current research projects taking place across the region.  By pairing youth and Nunatsiavummiut with researchers working on established research programs and projects through research assistantship opportunities, skills and local capacity for designing and implementing community-operated monitoring programs were built.  Through active participation in research, this activity facilitated discussions between community members and researchers with 3 main objectives: 1) To prioritize and characterize current challenges to food security caused/exacerbated by climate change; 2) To identify areas where information generated by current research and monitoring can feed into food security monitoring; 3) To identify opportunities for future community-based monitoring in relation to food security. ","Cette activité a mobilisé les jeunes et d’autres membres de la communauté en créant et en élargissant des possibilités de participation à des projets de recherche actuels menés à travers la région. En jumelant des jeunes et des Inuits du Nunatsiavut avec des chercheurs qui travaillent sur des programmes et des projets de recherche établis par l’intermédiaire de possibilités d’assistanat en recherche, on a développé les compétences et les capacités locales de conception et de mise en œuvre de programmes de surveillance administrés par la communauté. Grâce à la participation active aux travaux de recherche, cette activité a facilité les discussions entre les membres de la communauté et les chercheurs, avec trois grands objectifs : 1) hiérarchiser et caractériser les problèmes actuels de sécurité alimentaire causés/aggravés par les changements climatiques; 2) définir les domaines dans lesquels les données issues des recherches et de la surveillance actuelles peuvent contribuer à la surveillance de la sécurité alimentaire; 3) trouver des possibilités de surveillance communautaire future en lien avec la sécurité alimentaire.",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Nunatsiavut Government,Nunatsiavut Government,"$221,650",Not available,$221 650,Sans objet,Fall 2017,Automne 2017,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Nain,Nain,Adaptation,56.5417,-61.6969,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Mental health and adaptation,Santé mentale et adaptation,"A previous activity focused on developing opportunities for understanding and addressing mental health and community-level impacts of climate change, through a participatory arts based approach.  The objective of this activity will give youth and adults a venue to discuss and express the impacts that climate change in Nunatsiavut is having on their mental health, culture, identity and overall wellbeing, and to develop strategies to address these impacts.  Lead by Nunatsiavut youth, community members are coming together to develop a performance based on these themes.  This performance will then be used as a catalyst for discussion and the generation of ideas for mental health programming. This activity builds on a theatre workshop that took place during spring 2017 where a group of Labrador Inuit were trained and participated in a performance that they designed themselves for their community. ","Une activité antérieure visait le développement de possibilités de comprendre les effets des changements climatiques sur la santé mentale et à l’échelon communautaire et d’y faire face dans le cadre d’une approche participative basée sur les arts. L’objectif de cette activité donnera aux jeunes et aux adultes un lieu où discuter et exprimer les effets que les changements climatiques ont sur la santé mentale, la culture, l’identité et le bien-être en général au Nunatsiavut, et où élaborer des stratégies pour y faire face. Sous l’impulsion des jeunes du Nunatsiavut, les membres de la communauté se réunissent pour réaliser un spectacle inspiré de ces thèmes. Ce spectacle sera ensuite utilisé pour catalyser la discussion et la production d’idées pour des programmes de santé mentale. Cette activité fait suite à un atelier théâtral qui a eu lieu au printemps 2017 et lors duquel un groupe d’Inuits du Labrador ont suivi une formation et ont participé à un spectacle qu’ils avaient conçu eux-mêmes pour leur communauté. ",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Nunatsiavut Government,Nunatsiavut Government,"$221,650",Not available,$221 650,Sans objet,Fall 2017,Automne 2017,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Nain,Nain,Adaptation,56.5417,-61.6969,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,NUNAMIN ILLIHAKVIA: Learning from the Land,NUNAMIN ILLIHAKVIA : Apprendre de la terre,"Funding is being used to bring together young Inuit (male and female) to teach traditional hunting skills, including language and hide sewing","Le financement sert à réunir de jeunes Inuits (hommes et femmes) pour enseigner les techniques de chasse traditionnelles, y compris la langue et la couture de la peau.",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Inuvialuit Regional Corporation,Inuvialuit Regional Corporation,"$200,810",Not available,$200 810,Sans objet,Winter 2018,Hiver 2018,Northwest Territories,Territoires du Nord-Ouest,Ulukhaktok,Ulukhaktok,Adaptation,70.7368,-117.7704,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Partnering to transmit on the land skills,Partenariat pour transmettre les compétences liées à la terre,The T???ch? Government is pairing traditional harvesters with at-risk community youth to help fill the community freezers in the four T???ch? communities. This work addresses food security by supplementing the traditional food source (caribou) which has declined in association with climate change impacts.,Le gouvernement T???ch? jumelle des responsables d’activités traditionnelles d’exploitation avec des jeunes à risque de la communauté pour contribuer à remplir les congélateurs communautaires de quatre communautés T???ch?. Ce travail ,Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,T???ch? Government,T???ch? Government,"$267,100",Not available,$267 100,Sans objet,Winter 2018,Hiver 2018,Northwest Territories,Territoires du Nord-Ouest,"T???ch? communities (Behchok??, Whatì, Wekweètì, Gamètì)","T???ch? communities (Behchok??, Whatì, Wekweètì, Gamètì)",Adaptation,62.823,-115.9883,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Pathways to Adaptive Food System Governance in the Inuvialuit Settlement Region (ISR),Vers une gestion de systèmes adaptatifs d’alimentation dans la région désignée des Inuvialuit (RDI),The Inuvialuit Settlement Region (ISR) is working with the Univeristy of Ottawa and TELUQ to develop a methodology and undertake a food system anaylsis across the ISR resulting in a Food Security Strategy and Action Plan. ,"La région désignée des Inuvialuit (RDI) collabore avec l’Université d’Ottawa et la TELUQ pour élaborer une méthodologie et entreprendre une analyse des systèmes d’alimentation dans l’ensemble de la RDI, afin de mettre sur pied une stratégie et un plan d’action en matière de sécurité alimentaire.",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Inuvialuit Regional Corporation,Société régionale Inuvialuite,"$82,471",Not available,$82 471,Sans objet,Winter 2018,Hiver 2018,Northwest Territories,Territoires du Nord-Ouest,Inuvialuit Settlement Region,Inuvialuit Settlement Region,Adaptation,68.3607,-133.723,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Qanuirlipitaa (How are we now ?),Qanuirlipitaa (Comment allons-nous maintenant?),This project will obtain reliable data on the health status of the Nunavik population as well as document and improve their knowledge on issues such as health impact of climate change. ,Ce projet obtiendra des données fiables sur l’état de santé de la population du Nunavik et il documentera et améliorera sa connaissance des questions telles que les effets des changements climatiques sur la santé. ,Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Nunavik Regional Board of Health and Social Services,Nunavik Regional Board of Health and Social Services,"$119,350",Not available,$119 350,Sans objet,Winter 2018,Hiver 2018,Quebec,Québec,Kuujjuaq,Kuujjuaq,Adaptation,58.103,-68.4188,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,SmartICE Operation in Nunatsiavut,Opération SmartICE au Nunatsiavut,"This activity expanded the Smart-Ice program to additional communities.  For Inuit, sea ice is critical infrastructure and is a central part of their culture, community and livelihood. Recent changes in Arctic climate have led to dangerous sea ice conditions for Inuit travel and hunting, particularly during the dynamic freeze-up and break-up periods. The key to adapting to changing ice conditions and ensuring safe and efficient winter travel for Inuit is the availability of user-defined sea ice information at appropriate scales and frequencies.  SmartICE seeks to address these information needs using networks of in situ sensors that generate daily observations of changing sea ice conditions at hazardous travel locations, particularly during freeze-up and break-up, combined with user-based satellite image classifications of sea ice state.Smart-Ice is currently in operation in Nain, and seeing great success both in community uptake and use of the information generated.  This activity will pilot Smart-Ice in one additional Nunatsiavut community, with the eventual goal of bringing the program to all 5 Nunatsiavut communities.","Cette activité a élargi le programme SmartICE à d’autres communautés. Pour les Inuits, la glace de mer est une infrastructure indispensable : elle joue un ro?le central dans leur culture, leur communaute? et leur subsistance. Les récents changements climatique de l’Arctique ont rendu les conditions des glaces de mer dangereuses pour les déplacements et la chasse des Inuits, en particulier pendant les périodes d’englacement et de débâcle dynamiques. La clé de l’adaptation aux changements des conditions des glaces ainsi que de la sécurité et de l’efficacité des déplacements hivernaux pour les Inuits est la disponibilité d’informations définies par l’utilisateur sur les glaces de mer à des échelles et à des fréquences appropriées. SmartICE cherche à répondre à ces besoins d’informations en utilisant des réseaux de capteurs in situ (sur place) qui génèrent des observations quotidiennes des changements des conditions des glaces de mer aux endroits dangereux pour les déplacements, en particulier pendant l’englacement et la débâcle, combinés à des classifications fondées sur l’utilisateur des images satellites sur l’état des glaces de mer. SmartICE est actuellement en œuvre à Nain et est un succès tant du point de vue de l’adoption par la communauté que de l’utilisation des informations produites. Cette activité mettra à l’essai SmartICE dans une autre communauté du Nunatsiavut, l’objectif ultime étant la mise en œuvre du programme dans les cinq communautés du Nunatsiavut.",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Nunatsiavut Government,Nunatsiavut Government,"$221,650",Not available,$221 650,Sans objet,Fall 2017,Automne 2017,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Nain,Nain,Adaptation,56.5417,-61.6969,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,SmartICE Operation in Resolute,Opération SmartICE à Resolute,"SmartICE is undertaking a sea-ice monitoring system and service in Resolute. This includes establishing a local management committee, training two community operators, and providing SmartICE technology to undertake this work.","SmartICE met sur pied un système et un service de surveillance des glaces de mer à Resolute. Cela comprend l’établissement d’un comité de gestion local, la formation de deux opérateurs de la communauté et l’obtention de la technologie SmartICE pour effectuer ce travail.",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Resolute Bay,Resolute Bay,"$280,140",Not available,$280 140,Sans objet,Winter 2018,Hiver 2018,Nunavut,Nunavut,Resolute,Resolute,Adaptation,74.6973,-94.8297,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program,Programme sur le changement climatique et l’adaptation du secteur de la santé,Adaptation - Health,Adaptation - santé,Youth and Community-driven monitoring of the health of the Coppermine River,Surveillance communautaire et par les jeunes de la santé de la rivière Coppermine,The community of Kugluktuk is undertaking a water quality monitoring project based on concerns expressed during engagement held by Ikaarvik in the community in 2015/16. This project incorporates youth into all aspects of the project.,La communauté de Kugluktuk entreprend un projet de surveillance de la qualité de l’eau à la suite de préoccupations exprimées pendant une séance organisée par Ikaarvik dans la communauté en 2015-2016. Ce projet fait participer les jeunes dans chacun de ses aspects.,Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Hamlet of Kugluktuk,Hamlet of Kugluktuk,"$224,538",Not available,$224 538,Sans objet,Winter 2018,Hiver 2018,Nunavut,Nunavut,Kugluktuk,Kugluktuk,Adaptation,67.8252,-115.0966,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
Indigenous Services Canada,Services aux Autochtones Canada,Climate Change and Health Adaptation Program for First Nations South of 60°,Programme sur le changement climatique et l’adaptation du secteur de la santé pour les Premières Nations vivant au Sud du 60°N,Adaptation - Health,Adaptation - santé,"Acquisition of traditional and contemporary knowledge on the evolution of the prevalence of the winter tick (Dermacentor Albipictus) in moose in the Nionwentsïo, the customary lands of the Huron-Wendat Nation","Acquisition de connaissances traditionnelles et contemporaines sur l’évolution de la prévalence de la tique d’hiver de l’orignal (Dermacentor Albipictus) sur le Nionwentsïo, territoire coutumier des Hurons-Wendat","In the last few years, the members of the Huron-Wendat Nation have noticed a severe increase of moose parasitized by the winter tick and the presence of moose carcasses continue to multiply on the Nionwentsïo. These observations are currently not systematically collected, and they create a climate of concern among the Huron-Wendat, both in terms of the health of the moose population and of human health. From this context emerges a sense of urgency about this project. It consists in setting up an effective system for acquiring information on the situation of the winter tick on the Nionwentsïo, via Aboriginal knowledge and data acquisition from Huron-Wendat hunters. The goal is to provide answers and raise the awareness of hunters, as well as the Huron-Wendat population in general, about the realities related to the proliferation of winter ticks in the context of climate change. The training of young Huron-Wendat students is also at the heart of the project. The latter is a first step in the development of Huron-Wendat action plans and adaptation to the increased presence of the moose winter tick.
","Au cours des dernières années, les membres de la Nation huronne-wendat ont remarqué une forte augmentation du nombre d’orignaux parasités par la tique d’hiver, et la présence de carcasses d’orignaux continue de se multiplier dans le Nionwentsïo. Ces observations ne sont pas systématiquement recueillies à l’heure actuelle, et elles créent un climat préoccupant chez les Hurons-Wendat, tant sur le plan de la santé de la population d’orignaux que sur le plan de la santé humaine. Dans ce contexte, il est urgent de mettre en œuvre ce projet. Il consiste à mettre en place un système efficace pour la collecte de renseignements sur l’état de la tique d’hiver dans le Nionwentsïo, grâce au savoir autochtone et à l’acquisition de données par les chasseurs hurons-wendats. L’objectif est de fournir des réponses et de sensibiliser les chasseurs, ainsi que la population huronne-wendat en général, aux réalités liées à la prolifération des tiques d’hiver dans le contexte des changements climatiques. La formation de jeunes étudiants hurons-wendats est également au cœur du projet. Cette dernière est une première étape dans l’élaboration de plans d’action huron-wendat et l’adaptation à la présence accrue de la tique d’hiver s’attaquant à l’orignal.",Indigenous Governments or Organizations,Gouvernement ou organisation autochtone,Conseil de la Nation huronne-wendat,Conseil de la Nation huronne-wendat,"$81,990",$90 990,$81 990,$90 990,Spring 2018,Printemps 2018,Quebec,Québec,Wendake,Wendake,Adaptation,46.865333,-71.359342,"<a target=""_blank"" href=""https://www.sac-isc.gc.ca/eng/1536238477403/1536780059794"">Program website</a>","<a target=""_blank"" href=""https://www.sac-isc.gc.ca/fra/1536238477403/1536780059794"">Program website</a>",
